"species" "no_complete" "no_incomplete" "prop_complete" "prop_incomplete"
"Recurvirostra_americana" 1033 150 0.00059500323997408 8.63993088055296e-05
"Regulus_calendula" 106194 5793 0.0611672546619627 0.00333674130606955
"Regulus_satrapa" 72562 4017 0.0417953776369789 0.00231377348981208
"Rhodostethia_rosea" 146 11 8.40953272373821e-05 6.3359493124055e-06
"Riparia_riparia" 24199 1356 0.0139385124919001 0.000781049751601987
"Rissa_tridactyla" 647 106 0.000372669018647851 6.10555115559076e-05
"Rynchops_niger" 8666 572 0.00499157606739146 0.000329469364245086
"Sayornis_phoebe" 186890 10993 0.107647778817769 0.00633191734466124
"Sayornis_saya" 134 26 7.71833825329397e-05 1.49758801929585e-05
"Scolopax_minor" 11984 2440 0.00690272877816977 0.00140542875656995
"Seiurus_aurocapilla" 98733 5179 0.0568697530419757 0.00298308013535892
"Selasphorus_calliope" 3 1 1.72798617611059e-06 5.75995392036864e-07
"Selasphorus_rufus" 378 135 0.000217726258189934 7.77593779249766e-05
"Setophaga_americana" 53065 3461 0.0305651954784362 0.00199352005183959
"Setophaga_caerulescens" 52911 3502 0.0304764921880625 0.0020171358629131
"Setophaga_castanea" 13694 951 0.00788768089855281 0.000547771617827057
"Setophaga_cerulea" 6150 487 0.00354237166102671 0.000280509755921953
"Setophaga_citrina" 17721 1362 0.0102072143422853 0.000784505723954208
"Setophaga_coronata" 158464 8603 0.0912745338037296 0.00495528835769314
"Setophaga_discolor" 21657 1392 0.0124743322053424 0.000801785585715314
"Setophaga_dominica" 1537 182 0.00088530491756066 0.000104831161350709
"Setophaga_fusca" 29672 1902 0.0170909352725178 0.00109554323565411
"Setophaga_graciae" 28 18 1.61278709770322e-05 1.03679170566635e-05
"Setophaga_kirtlandii" 173 41 9.96472028223774e-05 2.36158110735114e-05
"Setophaga_magnolia" 59412 3545 0.0342210382316941 0.00204190366477068
"Setophaga_nigrescens" 19 5 1.09439124487004e-05 2.87997696018432e-06
"Setophaga_occidentalis" 22 18 1.2671898624811e-05 1.03679170566635e-05
"Setophaga_palmarum" 53744 3296 0.0309562963496292 0.0018984808121535
